x, RHO_s, V_s, P_s, RHO_g, V_g, P_g, PHI_s
-4.987500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.962500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.937500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.912500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.887500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.862500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.837500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.812500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.787500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.762500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.737500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.712500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.687500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.662500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.637500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.612500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.587500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.562500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.537500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.512500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.487500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.462500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.437500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.412500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.387500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.362500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.337500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.312500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.287500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.262500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.237500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.212500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.187500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.162500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.137500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.112500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.087500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.062500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.037500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-4.012500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.987500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.962500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.937500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.912500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.887500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.862500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.837500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.812500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.787500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.762500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.737500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.712500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.687500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.662500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.637500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.612500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.587500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.562500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.537500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.512500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.487500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.462500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.437500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.412500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.387500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.362500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.337500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
-3.312500e-01,2.068000e-01,1.416600e+00,4.160000e-02,5.806000e-01,1.583300e+00,1.375000e+00,1.000000e-01
